market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
1,300000,104,449,1,2011,2013,2013,2,2,0,0
16,50000,140,593,1,2009,2011,2011,2,2,0,0
363,39700000,17,560,1,1987,2009,2009,22,22,0,0
321,0,11,38,1,2013,2013,2013,0,0,0,0
137,22900000,131,569,1,0,2001,2001,0,0,0,1
363,22200000,131,580,1,2000,2006,2006,6,6,0,0
145,30000000,93,506,1,0,2009,2009,0,0,0,1
210,13000000,131,101,3,2000,2006,2009,6,9,3,1
309,2500000,131,569,2,2011,2011,2012,0,1,1,1
109,0,140,319,1,2007,2007,2007,0,0,0,1
309,5000000,140,593,1,2000,2005,2005,5,5,0,1
309,0,105,283,1,0,2009,2009,0,0,0,0
280,25200000,131,573,4,2005,2006,2010,1,5,4,1
145,18000000,131,580,2,1999,2006,2006,7,7,0,0
227,5500000,120,512,1,2002,2006,2006,4,4,0,1
17,400000,131,569,2,2007,2007,2007,0,0,0,1
181,250000,17,99,1,2006,2007,2007,1,1,0,1
102,4500000,79,653,2,2008,2005,2007,-3,-1,2,1
218,30426151,131,486,4,1999,2007,2011,8,12,4,1
34,90000,85,248,2,2007,2008,2009,1,2,1,0
137,7660000,131,94,2,2008,2009,2010,1,2,1,0
310,123300000,131,432,4,0,2007,2009,0,0,2,0
63,3500000,36,300,1,1993,2005,2005,12,12,0,1
8,5000000,79,362,1,2005,2006,2006,1,1,0,0
283,0,6,299,1,2008,2011,2011,3,3,0,0
79,0,79,113,1,0,2014,2014,0,0,0,1
79,875000,79,583,2,2010,2012,2013,2,3,1,0
309,6000000,2,192,1,2001,2006,2006,5,5,0,1
309,24300000,88,438,7,2007,2007,2011,0,4,4,0
289,9000000,36,500,1,2004,2006,2006,2,2,0,0
47,104000000,23,365,1,0,2008,2008,0,0,0,0
210,17000000,137,567,2,2004,2008,2010,4,6,2,1
102,7500000,131,531,2,2006,2006,2011,0,5,5,1
29,30000000,6,10,1,1988,2012,2012,24,24,0,1
8,960000,135,561,2,2011,2013,2014,2,3,1,0
29,15008402,17,701,2,2010,2010,2011,0,1,1,0
145,9500000,131,432,2,2005,2007,2010,2,5,3,0
115,28000000,17,666,3,2004,2006,2009,2,5,3,1
286,5000000,131,580,1,2006,2008,2008,2,2,0,1
198,1000000,17,169,1,2012,2012,2012,0,0,0,0
210,6250000,131,570,2,2011,2011,2012,0,1,1,1
309,252000000,17,132,2,2005,2005,2009,0,4,4,1
74,19044025,104,449,4,2007,2007,2013,0,6,6,1
9,1800000,131,486,1,2011,2013,2013,2,2,0,1
115,1000000,13,43,1,0,2009,2009,0,0,0,1
29,69900000,116,493,4,2005,2005,2009,0,4,4,1
